time,open,high,low,close,ParabolicSAR,Volume,Volume MA,MA,Smoothing Line,MA,Smoothing Line,MA,Smoothing Line,Basis,Upper,Lower,Aroon Up,Aroon Down,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2014-09-12T13:30:00Z,1996.74,1996.74,1980.26,1985.54,2006.5936562816,3206570000,2683165000,1972.5889999999986,1971.731120000001,1888.0353999999998,1886.1183399999943,1997.4466666666658,1999.4384444444445,1992.5434999999993,2016.571587128172,1968.5154128718266,57.142857142857146,100,50.74555370649068,61.97491969471842,NaN,NaN
2014-09-15T13:30:00Z,1986.04,1987.18,1978.48,1984.13,2004.486963779072,2776530000,2670822500,1972.5627999999988,1972.1178400000013,1888.9422999999997,1887.0823799999944,1995.4299999999992,1998.298888888889,1993.9969999999994,2011.3766767529469,1976.617323247052,50,100,49.96873252334979,60.864333928884115,NaN,NaN
2014-09-16T13:30:00Z,1981.93,2002.28,1979.06,1998.98,1978.48,3160310000,2696930000,1972.9893999999986,1972.4799600000013,1889.9010499999997,1888.0310999999942,1995.236666666666,1997.378,1995.3589999999997,2009.5196580367133,1981.198341963286,42.857142857142854,92.85714285714286,57.37035318047534,60.23749757738032,NaN,NaN
2014-09-17T13:30:00Z,1999.3,2010.74,1993.29,2001.57,1978.48,3209420000,2724579500,1973.7465999999986,1972.8516800000011,1890.8798499999996,1888.9757399999944,1995.6722222222213,1996.6426666666662,1996.3574999999994,2009.2567059847381,1983.4582940152607,35.714285714285715,85.71428571428571,58.52288223219654,59.690724387728345,NaN,NaN
2014-09-18T13:30:00Z,2003.07,2012.34,2003.07,2011.36,1979.06,3235340000,2757368500,1974.5171999999986,1973.2810000000013,1891.9321499999994,1889.9381499999945,1996.077777777777,1995.9726666666666,1997.5999999999992,2011.2321179586706,1983.9678820413278,100,78.57142857142857,62.63506141911073,59.593220080872086,NaN,NaN
2014-09-19T13:30:00Z,2012.74,2019.26,2006.59,2010.4,1981.0567999999998,4880220000,2869433500,1975.4315999999985,1973.8495200000011,1893.0083999999995,1890.9327499999945,1997.0622222222216,1995.8957777777773,1998.5014999999992,2012.9887789383984,1984.0142210616,100,71.42857142857143,61.98608207755567,59.28223825197138,NaN,NaN
2014-09-22T13:30:00Z,2009.08,2009.08,1991.01,1994.29,1984.113056,3349670000,2921824000,1975.9659999999985,1974.530160000001,1894.0157999999997,1891.9474499999947,1997.7122222222215,1996.3522222222218,1998.795999999999,2012.6766922032848,1984.915307796713,92.85714285714286,64.28571428571429,52.20978746204205,58.3268554482134,NaN,NaN
2014-09-23T13:30:00Z,1992.78,1995.41,1982.77,1982.77,2019.26,3279350000,2974097500,1976.0793999999985,1975.148160000001,1895.0044999999996,1892.9681399999947,1996.2766666666657,1996.5602222222217,1998.0384999999992,2013.581712378323,1982.4952876216755,85.71428571428571,57.142857142857146,46.55532786292497,57.04830627445807,NaN,NaN
2014-09-24T13:30:00Z,1983.34,1999.79,1978.63,1998.3,2018.5302,3313850000,3017192500,1976.5797999999984,1975.714800000001,1895.9705499999993,1893.9862799999944,1996.3711111111104,1996.6999999999996,1997.952499999999,2013.4699184399656,1982.4350815600324,78.57142857142857,50,53.81683159064572,56.450644157748435,NaN,NaN
2014-09-25T13:30:00Z,1997.32,1997.32,1965.99,1965.99,2016.934192,3273050000,3063627500,1976.2681999999984,1976.065000000001,1896.7586499999993,1894.9515799999947,1994.1988888888882,1996.324222222222,1996.2459999999992,2017.0431723087083,1975.44882769129,71.42857142857143,100,41.25730679438913,54.65717007108952,NaN,NaN
